run,measurement,repetition,module,name,value
queueLengthConsistencyTest-140-20260130-15:39:09-88380,0.001s,0,System.oracle,AvgQLStat:mean,9911.3333333333
queueLengthConsistencyTest-141-20260130-15:39:09-88381,0.001s,1,System.oracle,AvgQLStat:mean,9931.862
queueLengthConsistencyTest-142-20260130-15:39:10-88382,0.001s,2,System.oracle,AvgQLStat:mean,9924.8448888889
queueLengthConsistencyTest-143-20260130-15:39:11-88383,0.001s,3,System.oracle,AvgQLStat:mean,9920.602
queueLengthConsistencyTest-144-20260130-15:39:11-88385,0.001s,4,System.oracle,AvgQLStat:mean,9948.8893333333
queueLengthConsistencyTest-145-20260130-15:39:12-88386,0.001s,5,System.oracle,AvgQLStat:mean,9956.6175555556
queueLengthConsistencyTest-146-20260130-15:39:12-88387,0.001s,6,System.oracle,AvgQLStat:mean,9909.4435555556
queueLengthConsistencyTest-147-20260130-15:39:13-88388,0.001s,7,System.oracle,AvgQLStat:mean,9953.2735555556
queueLengthConsistencyTest-148-20260130-15:39:14-88389,0.001s,8,System.oracle,AvgQLStat:mean,9931.6926666667
queueLengthConsistencyTest-149-20260130-15:39:14-88390,0.001s,9,System.oracle,AvgQLStat:mean,9928.6802222222
queueLengthConsistencyTest-150-20260130-15:39:15-88391,0.001s,10,System.oracle,AvgQLStat:mean,9963.2991111111
queueLengthConsistencyTest-151-20260130-15:39:16-88392,0.001s,11,System.oracle,AvgQLStat:mean,9953.7108888889
queueLengthConsistencyTest-152-20260130-15:39:16-88393,0.001s,12,System.oracle,AvgQLStat:mean,9931.4511111111
queueLengthConsistencyTest-153-20260130-15:39:17-88394,0.001s,13,System.oracle,AvgQLStat:mean,9934.3377777778
queueLengthConsistencyTest-154-20260130-15:39:17-88395,0.001s,14,System.oracle,AvgQLStat:mean,9958.9971111111
queueLengthConsistencyTest-155-20260130-15:39:18-88396,0.001s,15,System.oracle,AvgQLStat:mean,9888.0177777778
queueLengthConsistencyTest-156-20260130-15:39:19-88397,0.001s,16,System.oracle,AvgQLStat:mean,9930.2062222222
queueLengthConsistencyTest-157-20260130-15:39:19-88398,0.001s,17,System.oracle,AvgQLStat:mean,9919.0375555556
queueLengthConsistencyTest-158-20260130-15:39:20-88399,0.001s,18,System.oracle,AvgQLStat:mean,9900.8453333333
queueLengthConsistencyTest-159-20260130-15:39:20-88401,0.001s,19,System.oracle,AvgQLStat:mean,9932.1597777778
queueLengthConsistencyTest-160-20260130-15:39:21-88402,0.001s,20,System.oracle,AvgQLStat:mean,9943.5435555556
queueLengthConsistencyTest-161-20260130-15:39:22-88404,0.001s,21,System.oracle,AvgQLStat:mean,9910.5737777778
queueLengthConsistencyTest-162-20260130-15:39:22-88405,0.001s,22,System.oracle,AvgQLStat:mean,9925.9844444444
queueLengthConsistencyTest-163-20260130-15:39:23-88406,0.001s,23,System.oracle,AvgQLStat:mean,9901.1406666667
