run,measurement,repetition,module,name,value
throughputConsistencyTest-0-20260130-15:35:09-87798,2,0,System.oracle,throughputStat:last,6428.95
throughputConsistencyTest-1-20260130-15:35:09-87799,2,1,System.oracle,throughputStat:last,6500.8
throughputConsistencyTest-2-20260130-15:35:10-87800,2,2,System.oracle,throughputStat:last,6306.45
throughputConsistencyTest-3-20260130-15:35:10-87801,2,3,System.oracle,throughputStat:last,6330.1
throughputConsistencyTest-4-20260130-15:35:10-87802,2,4,System.oracle,throughputStat:last,6391.4
throughputConsistencyTest-5-20260130-15:35:10-87804,2,5,System.oracle,throughputStat:last,6385.2
throughputConsistencyTest-6-20260130-15:35:10-87806,2,6,System.oracle,throughputStat:last,6689
throughputConsistencyTest-7-20260130-15:35:11-87808,2,7,System.oracle,throughputStat:last,6243.8
throughputConsistencyTest-8-20260130-15:35:11-87809,2,8,System.oracle,throughputStat:last,6708.7
throughputConsistencyTest-9-20260130-15:35:11-87810,2,9,System.oracle,throughputStat:last,6463.35
throughputConsistencyTest-10-20260130-15:35:11-87811,2,10,System.oracle,throughputStat:last,6528.65
throughputConsistencyTest-11-20260130-15:35:11-87812,2,11,System.oracle,throughputStat:last,6457.8
throughputConsistencyTest-12-20260130-15:35:12-87813,2,12,System.oracle,throughputStat:last,6412.85
throughputConsistencyTest-13-20260130-15:35:12-87814,2,13,System.oracle,throughputStat:last,6578.3
throughputConsistencyTest-14-20260130-15:35:12-87816,2,14,System.oracle,throughputStat:last,6382.8
throughputConsistencyTest-15-20260130-15:35:12-87822,2,15,System.oracle,throughputStat:last,6398.6
throughputConsistencyTest-16-20260130-15:35:12-87824,2,16,System.oracle,throughputStat:last,6470.2
throughputConsistencyTest-17-20260130-15:35:13-87826,2,17,System.oracle,throughputStat:last,6555.4
throughputConsistencyTest-18-20260130-15:35:13-87830,2,18,System.oracle,throughputStat:last,6314.75
throughputConsistencyTest-19-20260130-15:35:13-87834,2,19,System.oracle,throughputStat:last,6509
throughputConsistencyTest-20-20260130-15:35:13-87837,2,20,System.oracle,throughputStat:last,6414.2
throughputConsistencyTest-21-20260130-15:35:13-87839,2,21,System.oracle,throughputStat:last,6514.5
throughputConsistencyTest-22-20260130-15:35:14-87840,2,22,System.oracle,throughputStat:last,6253.25
throughputConsistencyTest-23-20260130-15:35:14-87841,2,23,System.oracle,throughputStat:last,6408.05
throughputConsistencyTest-24-20260130-15:35:14-87842,2,24,System.oracle,throughputStat:last,6292.65
throughputConsistencyTest-25-20260130-15:35:14-87843,2,25,System.oracle,throughputStat:last,6575.25
throughputConsistencyTest-26-20260130-15:35:15-87845,2,26,System.oracle,throughputStat:last,6293.5
throughputConsistencyTest-27-20260130-15:35:15-87846,2,27,System.oracle,throughputStat:last,6435.3
throughputConsistencyTest-28-20260130-15:35:15-87848,2,28,System.oracle,throughputStat:last,6581.1
throughputConsistencyTest-29-20260130-15:35:15-87849,2,29,System.oracle,throughputStat:last,6376.1
throughputConsistencyTest-30-20260130-15:35:15-87850,2,30,System.oracle,throughputStat:last,6438.15
throughputConsistencyTest-31-20260130-15:35:16-87851,2,31,System.oracle,throughputStat:last,6543.7
throughputConsistencyTest-32-20260130-15:35:16-87852,2,32,System.oracle,throughputStat:last,6406.4
throughputConsistencyTest-33-20260130-15:35:16-87853,2,33,System.oracle,throughputStat:last,6401.25
throughputConsistencyTest-34-20260130-15:35:16-87854,2,34,System.oracle,throughputStat:last,6526.2
throughputConsistencyTest-35-20260130-15:35:16-87855,4,0,System.oracle,throughputStat:last,12929.75
throughputConsistencyTest-36-20260130-15:35:17-87856,4,1,System.oracle,throughputStat:last,12636.55
throughputConsistencyTest-37-20260130-15:35:17-87857,4,2,System.oracle,throughputStat:last,12776.6
throughputConsistencyTest-38-20260130-15:35:17-87858,4,3,System.oracle,throughputStat:last,12932.8
throughputConsistencyTest-39-20260130-15:35:17-87859,4,4,System.oracle,throughputStat:last,13172.05
throughputConsistencyTest-40-20260130-15:35:17-87860,4,5,System.oracle,throughputStat:last,12986.45
throughputConsistencyTest-41-20260130-15:35:18-87861,4,6,System.oracle,throughputStat:last,12991.15
throughputConsistencyTest-42-20260130-15:35:18-87862,4,7,System.oracle,throughputStat:last,12781.4
throughputConsistencyTest-43-20260130-15:35:18-87863,4,8,System.oracle,throughputStat:last,13025.6
throughputConsistencyTest-44-20260130-15:35:18-87864,4,9,System.oracle,throughputStat:last,12823.75
throughputConsistencyTest-45-20260130-15:35:18-87865,4,10,System.oracle,throughputStat:last,12928.7
throughputConsistencyTest-46-20260130-15:35:19-87866,4,11,System.oracle,throughputStat:last,12661.3
throughputConsistencyTest-47-20260130-15:35:19-87867,4,12,System.oracle,throughputStat:last,12867.9
throughputConsistencyTest-48-20260130-15:35:19-87868,4,13,System.oracle,throughputStat:last,12728.8
throughputConsistencyTest-49-20260130-15:35:19-87869,4,14,System.oracle,throughputStat:last,12957.2
throughputConsistencyTest-50-20260130-15:35:19-87870,4,15,System.oracle,throughputStat:last,12981.85
throughputConsistencyTest-51-20260130-15:35:20-87871,4,16,System.oracle,throughputStat:last,12807.65
throughputConsistencyTest-52-20260130-15:35:20-87872,4,17,System.oracle,throughputStat:last,12838.25
throughputConsistencyTest-53-20260130-15:35:20-87873,4,18,System.oracle,throughputStat:last,13007.45
throughputConsistencyTest-54-20260130-15:35:20-87875,4,19,System.oracle,throughputStat:last,13012.45
throughputConsistencyTest-55-20260130-15:35:21-87877,4,20,System.oracle,throughputStat:last,12969.1
throughputConsistencyTest-56-20260130-15:35:21-87878,4,21,System.oracle,throughputStat:last,13274.6
throughputConsistencyTest-57-20260130-15:35:21-87879,4,22,System.oracle,throughputStat:last,12978.95
throughputConsistencyTest-58-20260130-15:35:21-87880,4,23,System.oracle,throughputStat:last,13219.5
throughputConsistencyTest-59-20260130-15:35:21-87881,4,24,System.oracle,throughputStat:last,13278.9
throughputConsistencyTest-60-20260130-15:35:22-87882,4,25,System.oracle,throughputStat:last,13078.95
