run,T,repetition,module,name,value
queueLengthContinuityTest-140-20260130-16:06:55-91933,0.012s,0,System.oracle,AvgQLStat:mean,751.64377777778
queueLengthContinuityTest-141-20260130-16:06:55-91934,0.012s,1,System.oracle,AvgQLStat:mean,755.724
queueLengthContinuityTest-142-20260130-16:06:56-91935,0.012s,2,System.oracle,AvgQLStat:mean,748.69844444444
queueLengthContinuityTest-143-20260130-16:06:56-91936,0.012s,3,System.oracle,AvgQLStat:mean,752.11266666667
queueLengthContinuityTest-144-20260130-16:06:56-91937,0.012s,4,System.oracle,AvgQLStat:mean,763.01355555556
queueLengthContinuityTest-145-20260130-16:06:56-91938,0.012s,5,System.oracle,AvgQLStat:mean,767.46866666667
queueLengthContinuityTest-146-20260130-16:06:56-91939,0.012s,6,System.oracle,AvgQLStat:mean,747.60977777778
queueLengthContinuityTest-147-20260130-16:06:57-91940,0.012s,7,System.oracle,AvgQLStat:mean,757.648
queueLengthContinuityTest-148-20260130-16:06:57-91941,0.012s,8,System.oracle,AvgQLStat:mean,761.05622222222
queueLengthContinuityTest-149-20260130-16:06:57-91942,0.012s,9,System.oracle,AvgQLStat:mean,754.87911111111
queueLengthContinuityTest-150-20260130-16:06:57-91943,0.012s,10,System.oracle,AvgQLStat:mean,755.16288888889
queueLengthContinuityTest-151-20260130-16:06:57-91944,0.012s,11,System.oracle,AvgQLStat:mean,762.15555555556
queueLengthContinuityTest-152-20260130-16:06:58-91945,0.012s,12,System.oracle,AvgQLStat:mean,753.49066666667
queueLengthContinuityTest-153-20260130-16:06:58-91946,0.012s,13,System.oracle,AvgQLStat:mean,764.26777777778
queueLengthContinuityTest-154-20260130-16:06:58-91947,0.012s,14,System.oracle,AvgQLStat:mean,761.13377777778
queueLengthContinuityTest-155-20260130-16:06:58-91948,0.012s,15,System.oracle,AvgQLStat:mean,746.49444444444
queueLengthContinuityTest-156-20260130-16:06:58-91949,0.012s,16,System.oracle,AvgQLStat:mean,762.66933333333
queueLengthContinuityTest-157-20260130-16:06:59-91950,0.012s,17,System.oracle,AvgQLStat:mean,760.62222222222
queueLengthContinuityTest-158-20260130-16:06:59-91951,0.012s,18,System.oracle,AvgQLStat:mean,753.48622222222
queueLengthContinuityTest-159-20260130-16:06:59-91952,0.012s,19,System.oracle,AvgQLStat:mean,756.95777777778
queueLengthContinuityTest-160-20260130-16:06:59-91953,0.012s,20,System.oracle,AvgQLStat:mean,757.40888888889
queueLengthContinuityTest-161-20260130-16:06:59-91954,0.012s,21,System.oracle,AvgQLStat:mean,760.02822222222
queueLengthContinuityTest-162-20260130-16:07:00-91955,0.012s,22,System.oracle,AvgQLStat:mean,754.48555555556
queueLengthContinuityTest-163-20260130-16:07:00-91956,0.012s,23,System.oracle,AvgQLStat:mean,756.37888888889
queueLengthContinuityTest-164-20260130-16:07:00-91957,0.012s,24,System.oracle,AvgQLStat:mean,759.35755555556
queueLengthContinuityTest-165-20260130-16:07:00-91958,0.012s,25,System.oracle,AvgQLStat:mean,759.09311111111
