run,N,repetition,module,name,value
throughputContinuityTest-0-20260130-16:02:37-91494,2,0,System.oracle,throughputStat:last,6428.95
throughputContinuityTest-1-20260130-16:02:38-91495,2,1,System.oracle,throughputStat:last,6500.8
throughputContinuityTest-2-20260130-16:02:38-91496,2,2,System.oracle,throughputStat:last,6306.45
throughputContinuityTest-3-20260130-16:02:38-91497,2,3,System.oracle,throughputStat:last,6330.1
throughputContinuityTest-4-20260130-16:02:38-91498,2,4,System.oracle,throughputStat:last,6391.4
throughputContinuityTest-5-20260130-16:02:38-91499,2,5,System.oracle,throughputStat:last,6385.2
throughputContinuityTest-6-20260130-16:02:39-91500,2,6,System.oracle,throughputStat:last,6689
throughputContinuityTest-7-20260130-16:02:39-91502,2,7,System.oracle,throughputStat:last,6243.8
throughputContinuityTest-8-20260130-16:02:39-91503,2,8,System.oracle,throughputStat:last,6708.7
throughputContinuityTest-9-20260130-16:02:39-91504,2,9,System.oracle,throughputStat:last,6463.35
throughputContinuityTest-10-20260130-16:02:39-91505,2,10,System.oracle,throughputStat:last,6528.65
throughputContinuityTest-11-20260130-16:02:40-91507,2,11,System.oracle,throughputStat:last,6457.8
throughputContinuityTest-12-20260130-16:02:40-91508,2,12,System.oracle,throughputStat:last,6412.85
throughputContinuityTest-13-20260130-16:02:40-91509,2,13,System.oracle,throughputStat:last,6578.3
throughputContinuityTest-14-20260130-16:02:40-91510,2,14,System.oracle,throughputStat:last,6382.8
throughputContinuityTest-15-20260130-16:02:41-91512,2,15,System.oracle,throughputStat:last,6398.6
throughputContinuityTest-16-20260130-16:02:41-91513,2,16,System.oracle,throughputStat:last,6470.2
throughputContinuityTest-17-20260130-16:02:41-91514,2,17,System.oracle,throughputStat:last,6555.4
throughputContinuityTest-18-20260130-16:02:41-91517,2,18,System.oracle,throughputStat:last,6314.75
throughputContinuityTest-19-20260130-16:02:41-91521,2,19,System.oracle,throughputStat:last,6509
throughputContinuityTest-20-20260130-16:02:42-91525,2,20,System.oracle,throughputStat:last,6414.2
throughputContinuityTest-21-20260130-16:02:42-91527,2,21,System.oracle,throughputStat:last,6514.5
