run,measurement,repetition,module,name,value
queueLengthConsistencyTest-140-20260117-12:37:56-4751,0.001s,0,System.oracle,AvgQLStat:mean,9936.0175555556
queueLengthConsistencyTest-141-20260117-12:37:57-4752,0.001s,1,System.oracle,AvgQLStat:mean,9927.1871111111
queueLengthConsistencyTest-142-20260117-12:37:57-4753,0.001s,2,System.oracle,AvgQLStat:mean,9937.6837777778
queueLengthConsistencyTest-143-20260117-12:37:58-4754,0.001s,3,System.oracle,AvgQLStat:mean,9899.2613333333
queueLengthConsistencyTest-144-20260117-12:37:58-4755,0.001s,4,System.oracle,AvgQLStat:mean,9952.5344444444
queueLengthConsistencyTest-145-20260117-12:37:59-4756,0.001s,5,System.oracle,AvgQLStat:mean,9918.1768888889
queueLengthConsistencyTest-146-20260117-12:38:00-4757,0.001s,6,System.oracle,AvgQLStat:mean,9936.05
queueLengthConsistencyTest-147-20260117-12:38:00-4758,0.001s,7,System.oracle,AvgQLStat:mean,9941.7068888889
queueLengthConsistencyTest-148-20260117-12:38:01-4760,0.001s,8,System.oracle,AvgQLStat:mean,9934.6982222222
queueLengthConsistencyTest-149-20260117-12:38:01-4761,0.001s,9,System.oracle,AvgQLStat:mean,9929.1337777778
queueLengthConsistencyTest-150-20260117-12:38:02-4762,0.001s,10,System.oracle,AvgQLStat:mean,9921.5128888889
queueLengthConsistencyTest-151-20260117-12:38:03-4764,0.001s,11,System.oracle,AvgQLStat:mean,9924.904
queueLengthConsistencyTest-152-20260117-12:38:03-4765,0.001s,12,System.oracle,AvgQLStat:mean,9927.7015555556
queueLengthConsistencyTest-153-20260117-12:38:04-4766,0.001s,13,System.oracle,AvgQLStat:mean,9963.6613333333
queueLengthConsistencyTest-154-20260117-12:38:05-4767,0.001s,14,System.oracle,AvgQLStat:mean,9972.1913333333
queueLengthConsistencyTest-155-20260117-12:38:05-4768,0.001s,15,System.oracle,AvgQLStat:mean,9947.4077777778
queueLengthConsistencyTest-156-20260117-12:38:06-4769,0.001s,16,System.oracle,AvgQLStat:mean,9903.9368888889
queueLengthConsistencyTest-157-20260117-12:38:06-4770,0.001s,17,System.oracle,AvgQLStat:mean,9964.0964444444
queueLengthConsistencyTest-158-20260117-12:38:07-4771,0.001s,18,System.oracle,AvgQLStat:mean,9923.6928888889
queueLengthConsistencyTest-159-20260117-12:38:08-4772,0.001s,19,System.oracle,AvgQLStat:mean,9929.4895555556
queueLengthConsistencyTest-160-20260117-12:38:08-4773,0.001s,20,System.oracle,AvgQLStat:mean,9917.1284444444
queueLengthConsistencyTest-161-20260117-12:38:09-4774,0.001s,21,System.oracle,AvgQLStat:mean,9930.5682222222
queueLengthConsistencyTest-162-20260117-12:38:10-4775,0.001s,22,System.oracle,AvgQLStat:mean,9943.5391111111
queueLengthConsistencyTest-163-20260117-12:38:10-4776,0.001s,23,System.oracle,AvgQLStat:mean,9931.7353333333
queueLengthConsistencyTest-164-20260117-12:38:11-4777,0.001s,24,System.oracle,AvgQLStat:mean,9923.7804444444
queueLengthConsistencyTest-165-20260117-12:38:11-4778,0.001s,25,System.oracle,AvgQLStat:mean,9922.244
queueLengthConsistencyTest-166-20260117-12:38:12-4779,0.001s,26,System.oracle,AvgQLStat:mean,9932.5242222222
queueLengthConsistencyTest-167-20260117-12:38:13-4784,0.001s,27,System.oracle,AvgQLStat:mean,9929.2986666667
queueLengthConsistencyTest-168-20260117-12:38:13-4788,0.001s,28,System.oracle,AvgQLStat:mean,9939.4933333333
queueLengthConsistencyTest-169-20260117-12:38:14-4789,0.001s,29,System.oracle,AvgQLStat:mean,9924.5757777778
queueLengthConsistencyTest-170-20260117-12:38:14-4791,0.001s,30,System.oracle,AvgQLStat:mean,9891.32
queueLengthConsistencyTest-171-20260117-12:38:15-4793,0.001s,31,System.oracle,AvgQLStat:mean,9959.9757777778
queueLengthConsistencyTest-172-20260117-12:38:16-4794,0.001s,32,System.oracle,AvgQLStat:mean,9952.528
queueLengthConsistencyTest-173-20260117-12:38:16-4795,0.001s,33,System.oracle,AvgQLStat:mean,9947.3877777778
queueLengthConsistencyTest-174-20260117-12:38:17-4796,0.001s,34,System.oracle,AvgQLStat:mean,9955.2144444444
queueLengthConsistencyTest-105-20260117-12:37:41-4714,0.002s,0,System.oracle,AvgQLStat:mean,4921.184
queueLengthConsistencyTest-106-20260117-12:37:42-4715,0.002s,1,System.oracle,AvgQLStat:mean,4927.9222222222
queueLengthConsistencyTest-107-20260117-12:37:42-4716,0.002s,2,System.oracle,AvgQLStat:mean,4905.9293333333
queueLengthConsistencyTest-108-20260117-12:37:42-4717,0.002s,3,System.oracle,AvgQLStat:mean,4907.7948888889
