run,measurement,repetition,module,name,value
queueLengthContinuityTest-140-20260117-12:59:31-6620,0.012s,0,System.oracle,AvgQLStat:mean,759.72266666667
queueLengthContinuityTest-141-20260117-12:59:31-6623,0.012s,1,System.oracle,AvgQLStat:mean,762.432
queueLengthContinuityTest-142-20260117-12:59:32-6624,0.012s,2,System.oracle,AvgQLStat:mean,758.41777777778
queueLengthContinuityTest-143-20260117-12:59:32-6625,0.012s,3,System.oracle,AvgQLStat:mean,761.14933333333
queueLengthContinuityTest-144-20260117-12:59:33-6626,0.012s,4,System.oracle,AvgQLStat:mean,758.04666666667
queueLengthContinuityTest-145-20260117-12:59:33-6628,0.012s,5,System.oracle,AvgQLStat:mean,752.81155555556
queueLengthContinuityTest-146-20260117-12:59:33-6629,0.012s,6,System.oracle,AvgQLStat:mean,754.81555555556
queueLengthContinuityTest-147-20260117-12:59:33-6630,0.012s,7,System.oracle,AvgQLStat:mean,754.73777777778
queueLengthContinuityTest-148-20260117-12:59:34-6631,0.012s,8,System.oracle,AvgQLStat:mean,761.28155555556
queueLengthContinuityTest-149-20260117-12:59:34-6632,0.012s,9,System.oracle,AvgQLStat:mean,752.61444444444
queueLengthContinuityTest-150-20260117-12:59:34-6633,0.012s,10,System.oracle,AvgQLStat:mean,749.25933333333
queueLengthContinuityTest-151-20260117-12:59:34-6634,0.012s,11,System.oracle,AvgQLStat:mean,760.56622222222
queueLengthContinuityTest-152-20260117-12:59:35-6635,0.012s,12,System.oracle,AvgQLStat:mean,760.63333333333
queueLengthContinuityTest-153-20260117-12:59:35-6636,0.012s,13,System.oracle,AvgQLStat:mean,752.88866666667
queueLengthContinuityTest-154-20260117-12:59:35-6637,0.012s,14,System.oracle,AvgQLStat:mean,766.28911111111
queueLengthContinuityTest-155-20260117-12:59:35-6639,0.012s,15,System.oracle,AvgQLStat:mean,771.18088888889
queueLengthContinuityTest-156-20260117-12:59:35-6640,0.012s,16,System.oracle,AvgQLStat:mean,756.81288888889
queueLengthContinuityTest-157-20260117-12:59:36-6641,0.012s,17,System.oracle,AvgQLStat:mean,761.03466666667
queueLengthContinuityTest-158-20260117-12:59:36-6642,0.012s,18,System.oracle,AvgQLStat:mean,754.78466666667
queueLengthContinuityTest-159-20260117-12:59:36-6643,0.012s,19,System.oracle,AvgQLStat:mean,760.43955555556
queueLengthContinuityTest-160-20260117-12:59:36-6644,0.012s,20,System.oracle,AvgQLStat:mean,754.89444444444
queueLengthContinuityTest-161-20260117-12:59:36-6645,0.012s,21,System.oracle,AvgQLStat:mean,764.21111111111
queueLengthContinuityTest-162-20260117-12:59:37-6646,0.012s,22,System.oracle,AvgQLStat:mean,754.79822222222
queueLengthContinuityTest-163-20260117-12:59:37-6647,0.012s,23,System.oracle,AvgQLStat:mean,760.67511111111
queueLengthContinuityTest-164-20260117-12:59:37-6648,0.012s,24,System.oracle,AvgQLStat:mean,760.49177777778
queueLengthContinuityTest-165-20260117-12:59:37-6649,0.012s,25,System.oracle,AvgQLStat:mean,748.762
queueLengthContinuityTest-166-20260117-12:59:37-6650,0.012s,26,System.oracle,AvgQLStat:mean,752.40666666667
queueLengthContinuityTest-167-20260117-12:59:38-6651,0.012s,27,System.oracle,AvgQLStat:mean,765.98933333333
queueLengthContinuityTest-168-20260117-12:59:38-6652,0.012s,28,System.oracle,AvgQLStat:mean,762.84022222222
queueLengthContinuityTest-169-20260117-12:59:38-6653,0.012s,29,System.oracle,AvgQLStat:mean,758.77111111111
queueLengthContinuityTest-170-20260117-12:59:38-6654,0.012s,30,System.oracle,AvgQLStat:mean,754.17711111111
queueLengthContinuityTest-171-20260117-12:59:39-6655,0.012s,31,System.oracle,AvgQLStat:mean,768.82711111111
queueLengthContinuityTest-172-20260117-12:59:39-6656,0.012s,32,System.oracle,AvgQLStat:mean,762.61266666667
queueLengthContinuityTest-173-20260117-12:59:39-6657,0.012s,33,System.oracle,AvgQLStat:mean,776.65044444444
queueLengthContinuityTest-174-20260117-12:59:39-6658,0.012s,34,System.oracle,AvgQLStat:mean,756.00688888889
queueLengthContinuityTest-105-20260117-12:59:23-6577,0.013s,0,System.oracle,AvgQLStat:mean,695.34622222222
queueLengthContinuityTest-106-20260117-12:59:24-6578,0.013s,1,System.oracle,AvgQLStat:mean,701.63933333333
queueLengthContinuityTest-107-20260117-12:59:24-6579,0.013s,2,System.oracle,AvgQLStat:mean,701.78711111111
queueLengthContinuityTest-108-20260117-12:59:24-6580,0.013s,3,System.oracle,AvgQLStat:mean,698.85266666667
queueLengthContinuityTest-109-20260117-12:59:24-6582,0.013s,4,System.oracle,AvgQLStat:mean,694.92488888889
queueLengthContinuityTest-110-20260117-12:59:24-6583,0.013s,5,System.oracle,AvgQLStat:mean,689.57444444444
queueLengthContinuityTest-111-20260117-12:59:25-6584,0.013s,6,System.oracle,AvgQLStat:mean,695.89044444444
queueLengthContinuityTest-112-20260117-12:59:25-6585,0.013s,7,System.oracle,AvgQLStat:mean,689.88222222222
queueLengthContinuityTest-113-20260117-12:59:25-6587,0.013s,8,System.oracle,AvgQLStat:mean,696.84911111111
queueLengthContinuityTest-114-20260117-12:59:25-6588,0.013s,9,System.oracle,AvgQLStat:mean,692.60133333333
queueLengthContinuityTest-115-20260117-12:59:25-6589,0.013s,10,System.oracle,AvgQLStat:mean,687.04888888889
queueLengthContinuityTest-116-20260117-12:59:26-6590,0.013s,11,System.oracle,AvgQLStat:mean,699.29422222222
queueLengthContinuityTest-117-20260117-12:59:26-6591,0.013s,12,System.oracle,AvgQLStat:mean,689.49266666667
queueLengthContinuityTest-118-20260117-12:59:26-6592,0.013s,13,System.oracle,AvgQLStat:mean,692.12311111111
queueLengthContinuityTest-119-20260117-12:59:26-6593,0.013s,14,System.oracle,AvgQLStat:mean,702.33511111111
queueLengthContinuityTest-120-20260117-12:59:26-6594,0.013s,15,System.oracle,AvgQLStat:mean,706.14888888889
queueLengthContinuityTest-121-20260117-12:59:27-6595,0.013s,16,System.oracle,AvgQLStat:mean,699.48777777778
queueLengthContinuityTest-122-20260117-12:59:27-6596,0.013s,17,System.oracle,AvgQLStat:mean,701.02955555556
queueLengthContinuityTest-123-20260117-12:59:27-6597,0.013s,18,System.oracle,AvgQLStat:mean,689.69355555556
queueLengthContinuityTest-124-20260117-12:59:27-6598,0.013s,19,System.oracle,AvgQLStat:mean,697.88488888889
queueLengthContinuityTest-125-20260117-12:59:27-6599,0.013s,20,System.oracle,AvgQLStat:mean,689.51911111111
queueLengthContinuityTest-126-20260117-12:59:28-6600,0.013s,21,System.oracle,AvgQLStat:mean,696.66555555556
queueLengthContinuityTest-127-20260117-12:59:28-6601,0.013s,22,System.oracle,AvgQLStat:mean,693.69222222222
queueLengthContinuityTest-128-20260117-12:59:28-6602,0.013s,23,System.oracle,AvgQLStat:mean,692.63266666667
queueLengthContinuityTest-129-20260117-12:59:28-6603,0.013s,24,System.oracle,AvgQLStat:mean,701.326
queueLengthContinuityTest-130-20260117-12:59:29-6604,0.013s,25,System.oracle,AvgQLStat:mean,688.62688888889
queueLengthContinuityTest-131-20260117-12:59:29-6605,0.013s,26,System.oracle,AvgQLStat:mean,690.13888888889
queueLengthContinuityTest-132-20260117-12:59:29-6606,0.013s,27,System.oracle,AvgQLStat:mean,698.49288888889
queueLengthContinuityTest-133-20260117-12:59:29-6607,0.013s,28,System.oracle,AvgQLStat:mean,692.26688888889
queueLengthContinuityTest-134-20260117-12:59:30-6609,0.013s,29,System.oracle,AvgQLStat:mean,692.69466666667
queueLengthContinuityTest-135-20260117-12:59:30-6611,0.013s,30,System.oracle,AvgQLStat:mean,697.04244444444
queueLengthContinuityTest-136-20260117-12:59:30-6612,0.013s,31,System.oracle,AvgQLStat:mean,701.59266666667
queueLengthContinuityTest-137-20260117-12:59:30-6614,0.013s,32,System.oracle,AvgQLStat:mean,706.992
queueLengthContinuityTest-138-20260117-12:59:30-6616,0.013s,33,System.oracle,AvgQLStat:mean,707.92533333333
queueLengthContinuityTest-139-20260117-12:59:31-6618,0.013s,34,System.oracle,AvgQLStat:mean,699.60377777778
queueLengthContinuityTest-70-20260117-12:59:16-6542,0.014s,0,System.oracle,AvgQLStat:mean,645.858
queueLengthContinuityTest-71-20260117-12:59:16-6543,0.014s,1,System.oracle,AvgQLStat:mean,647.52244444444
queueLengthContinuityTest-72-20260117-12:59:16-6544,0.014s,2,System.oracle,AvgQLStat:mean,647.11466666667
queueLengthContinuityTest-73-20260117-12:59:17-6545,0.014s,3,System.oracle,AvgQLStat:mean,640.97177777778
queueLengthContinuityTest-74-20260117-12:59:17-6546,0.014s,4,System.oracle,AvgQLStat:mean,642.17444444444
queueLengthContinuityTest-75-20260117-12:59:17-6547,0.014s,5,System.oracle,AvgQLStat:mean,642.10355555556
queueLengthContinuityTest-76-20260117-12:59:17-6548,0.014s,6,System.oracle,AvgQLStat:mean,645.99777777778
queueLengthContinuityTest-77-20260117-12:59:18-6549,0.014s,7,System.oracle,AvgQLStat:mean,640.46888888889
queueLengthContinuityTest-78-20260117-12:59:18-6550,0.014s,8,System.oracle,AvgQLStat:mean,643.54244444444
queueLengthContinuityTest-79-20260117-12:59:18-6551,0.014s,9,System.oracle,AvgQLStat:mean,633.92955555556
queueLengthContinuityTest-80-20260117-12:59:18-6552,0.014s,10,System.oracle,AvgQLStat:mean,633.42044444444
queueLengthContinuityTest-81-20260117-12:59:18-6553,0.014s,11,System.oracle,AvgQLStat:mean,644.71711111111
queueLengthContinuityTest-82-20260117-12:59:19-6554,0.014s,12,System.oracle,AvgQLStat:mean,637.82311111111
queueLengthContinuityTest-83-20260117-12:59:19-6555,0.014s,13,System.oracle,AvgQLStat:mean,633.03355555556
queueLengthContinuityTest-84-20260117-12:59:19-6556,0.014s,14,System.oracle,AvgQLStat:mean,650.28066666667
queueLengthContinuityTest-85-20260117-12:59:19-6557,0.014s,15,System.oracle,AvgQLStat:mean,653.43266666667
queueLengthContinuityTest-86-20260117-12:59:19-6558,0.014s,16,System.oracle,AvgQLStat:mean,644.35111111111
queueLengthContinuityTest-87-20260117-12:59:20-6559,0.014s,17,System.oracle,AvgQLStat:mean,640.71177777778
queueLengthContinuityTest-88-20260117-12:59:20-6560,0.014s,18,System.oracle,AvgQLStat:mean,633.95533333333
queueLengthContinuityTest-89-20260117-12:59:20-6561,0.014s,19,System.oracle,AvgQLStat:mean,641.986
queueLengthContinuityTest-90-20260117-12:59:20-6562,0.014s,20,System.oracle,AvgQLStat:mean,640.01377777778
queueLengthContinuityTest-91-20260117-12:59:20-6563,0.014s,21,System.oracle,AvgQLStat:mean,642.97333333333
queueLengthContinuityTest-92-20260117-12:59:21-6564,0.014s,22,System.oracle,AvgQLStat:mean,639.35333333333
queueLengthContinuityTest-93-20260117-12:59:21-6565,0.014s,23,System.oracle,AvgQLStat:mean,641.07244444444
queueLengthContinuityTest-94-20260117-12:59:21-6566,0.014s,24,System.oracle,AvgQLStat:mean,646.57311111111
queueLengthContinuityTest-95-20260117-12:59:21-6567,0.014s,25,System.oracle,AvgQLStat:mean,641.09622222222
queueLengthContinuityTest-96-20260117-12:59:21-6568,0.014s,26,System.oracle,AvgQLStat:mean,641.39733333333
queueLengthContinuityTest-97-20260117-12:59:22-6569,0.014s,27,System.oracle,AvgQLStat:mean,645.04755555556
queueLengthContinuityTest-98-20260117-12:59:22-6570,0.014s,28,System.oracle,AvgQLStat:mean,638.86644444444
queueLengthContinuityTest-99-20260117-12:59:22-6571,0.014s,29,System.oracle,AvgQLStat:mean,639.34155555556
queueLengthContinuityTest-100-20260117-12:59:22-6572,0.014s,30,System.oracle,AvgQLStat:mean,643.35622222222
queueLengthContinuityTest-101-20260117-12:59:23-6573,0.014s,31,System.oracle,AvgQLStat:mean,652.97066666667
queueLengthContinuityTest-102-20260117-12:59:23-6574,0.014s,32,System.oracle,AvgQLStat:mean,649.44711111111
queueLengthContinuityTest-103-20260117-12:59:23-6575,0.014s,33,System.oracle,AvgQLStat:mean,655.26666666667
queueLengthContinuityTest-104-20260117-12:59:23-6576,0.014s,34,System.oracle,AvgQLStat:mean,644.88666666667
