run,measurement,repetition,module,name,value
throughputContinuityTest-0-20260117-12:54:56-6050,2,0,System.oracle,throughputStat:last,6476.7
throughputContinuityTest-1-20260117-12:54:56-6051,2,1,System.oracle,throughputStat:last,6450.7
throughputContinuityTest-2-20260117-12:54:56-6052,2,2,System.oracle,throughputStat:last,6182.45
throughputContinuityTest-3-20260117-12:54:56-6053,2,3,System.oracle,throughputStat:last,6484
throughputContinuityTest-4-20260117-12:54:57-6054,2,4,System.oracle,throughputStat:last,6657.5
throughputContinuityTest-5-20260117-12:54:57-6055,2,5,System.oracle,throughputStat:last,6519.2
throughputContinuityTest-6-20260117-12:54:57-6057,2,6,System.oracle,throughputStat:last,6383.05
throughputContinuityTest-7-20260117-12:54:57-6062,2,7,System.oracle,throughputStat:last,6304.55
throughputContinuityTest-8-20260117-12:54:57-6066,2,8,System.oracle,throughputStat:last,6563.5
throughputContinuityTest-9-20260117-12:54:58-6069,2,9,System.oracle,throughputStat:last,6730.35
throughputContinuityTest-10-20260117-12:54:58-6071,2,10,System.oracle,throughputStat:last,6372.7
throughputContinuityTest-11-20260117-12:54:58-6072,2,11,System.oracle,throughputStat:last,6543.6
throughputContinuityTest-12-20260117-12:54:58-6074,2,12,System.oracle,throughputStat:last,6353.45
throughputContinuityTest-13-20260117-12:54:58-6075,2,13,System.oracle,throughputStat:last,6565
throughputContinuityTest-14-20260117-12:54:59-6076,2,14,System.oracle,throughputStat:last,6475.7
throughputContinuityTest-15-20260117-12:54:59-6077,2,15,System.oracle,throughputStat:last,6488.7
throughputContinuityTest-16-20260117-12:54:59-6078,2,16,System.oracle,throughputStat:last,6506.15
throughputContinuityTest-17-20260117-12:54:59-6079,2,17,System.oracle,throughputStat:last,6449.05
throughputContinuityTest-18-20260117-12:54:59-6080,2,18,System.oracle,throughputStat:last,6876.1
throughputContinuityTest-19-20260117-12:55:00-6081,2,19,System.oracle,throughputStat:last,6597.7
throughputContinuityTest-20-20260117-12:55:00-6082,2,20,System.oracle,throughputStat:last,6625.6
throughputContinuityTest-21-20260117-12:55:00-6083,2,21,System.oracle,throughputStat:last,6157.65
throughputContinuityTest-22-20260117-12:55:00-6084,2,22,System.oracle,throughputStat:last,6544.05
throughputContinuityTest-23-20260117-12:55:00-6085,2,23,System.oracle,throughputStat:last,6562.75
throughputContinuityTest-24-20260117-12:55:01-6086,2,24,System.oracle,throughputStat:last,6455
throughputContinuityTest-25-20260117-12:55:01-6088,2,25,System.oracle,throughputStat:last,6581.85
throughputContinuityTest-26-20260117-12:55:01-6089,2,26,System.oracle,throughputStat:last,6454
throughputContinuityTest-27-20260117-12:55:01-6091,2,27,System.oracle,throughputStat:last,6485
throughputContinuityTest-28-20260117-12:55:02-6092,2,28,System.oracle,throughputStat:last,6491.25
throughputContinuityTest-29-20260117-12:55:02-6094,2,29,System.oracle,throughputStat:last,6548
throughputContinuityTest-30-20260117-12:55:02-6095,2,30,System.oracle,throughputStat:last,6355.65
throughputContinuityTest-31-20260117-12:55:02-6096,2,31,System.oracle,throughputStat:last,6435.7
throughputContinuityTest-32-20260117-12:55:03-6097,2,32,System.oracle,throughputStat:last,6233.05
throughputContinuityTest-33-20260117-12:55:03-6099,2,33,System.oracle,throughputStat:last,6656.5
throughputContinuityTest-34-20260117-12:55:03-6100,2,34,System.oracle,throughputStat:last,6563.9
throughputContinuityTest-35-20260117-12:55:03-6101,3,0,System.oracle,throughputStat:last,9733.5
throughputContinuityTest-36-20260117-12:55:03-6102,3,1,System.oracle,throughputStat:last,9376.35
throughputContinuityTest-37-20260117-12:55:04-6103,3,2,System.oracle,throughputStat:last,9987.6
throughputContinuityTest-38-20260117-12:55:04-6104,3,3,System.oracle,throughputStat:last,9673.1
throughputContinuityTest-39-20260117-12:55:04-6105,3,4,System.oracle,throughputStat:last,9379.75
throughputContinuityTest-40-20260117-12:55:04-6106,3,5,System.oracle,throughputStat:last,9871.35
throughputContinuityTest-41-20260117-12:55:04-6107,3,6,System.oracle,throughputStat:last,9900.85
throughputContinuityTest-42-20260117-12:55:05-6108,3,7,System.oracle,throughputStat:last,9745.8
throughputContinuityTest-43-20260117-12:55:05-6109,3,8,System.oracle,throughputStat:last,9544.75
throughputContinuityTest-44-20260117-12:55:05-6111,3,9,System.oracle,throughputStat:last,9849.4
