run,measurement,repetition,module,name,value
queueLengthConsistencyTest-80-20260107-19:48:36-29676,0.001s,0,System.oracle,AvgQLStat:mean,9936.0175555556
queueLengthConsistencyTest-81-20260107-19:48:37-29678,0.001s,1,System.oracle,AvgQLStat:mean,9927.1871111111
queueLengthConsistencyTest-82-20260107-19:48:38-29679,0.001s,2,System.oracle,AvgQLStat:mean,9937.6837777778
queueLengthConsistencyTest-83-20260107-19:48:38-29680,0.001s,3,System.oracle,AvgQLStat:mean,9899.2613333333
queueLengthConsistencyTest-84-20260107-19:48:39-29681,0.001s,4,System.oracle,AvgQLStat:mean,9952.5344444444
queueLengthConsistencyTest-85-20260107-19:48:39-29682,0.001s,5,System.oracle,AvgQLStat:mean,9918.1768888889
queueLengthConsistencyTest-86-20260107-19:48:40-29683,0.001s,6,System.oracle,AvgQLStat:mean,9936.05
queueLengthConsistencyTest-87-20260107-19:48:41-29684,0.001s,7,System.oracle,AvgQLStat:mean,9941.7068888889
queueLengthConsistencyTest-88-20260107-19:48:41-29685,0.001s,8,System.oracle,AvgQLStat:mean,9934.6982222222
queueLengthConsistencyTest-89-20260107-19:48:42-29686,0.001s,9,System.oracle,AvgQLStat:mean,9929.1337777778
queueLengthConsistencyTest-90-20260107-19:48:43-29687,0.001s,10,System.oracle,AvgQLStat:mean,9921.5128888889
queueLengthConsistencyTest-91-20260107-19:48:43-29688,0.001s,11,System.oracle,AvgQLStat:mean,9924.904
queueLengthConsistencyTest-92-20260107-19:48:44-29689,0.001s,12,System.oracle,AvgQLStat:mean,9927.7015555556
queueLengthConsistencyTest-93-20260107-19:48:44-29690,0.001s,13,System.oracle,AvgQLStat:mean,9963.6613333333
queueLengthConsistencyTest-94-20260107-19:48:45-29691,0.001s,14,System.oracle,AvgQLStat:mean,9972.1913333333
queueLengthConsistencyTest-95-20260107-19:48:46-29692,0.001s,15,System.oracle,AvgQLStat:mean,9947.4077777778
queueLengthConsistencyTest-96-20260107-19:48:46-29693,0.001s,16,System.oracle,AvgQLStat:mean,9903.9368888889
queueLengthConsistencyTest-97-20260107-19:48:47-29694,0.001s,17,System.oracle,AvgQLStat:mean,9964.0964444444
queueLengthConsistencyTest-98-20260107-19:48:48-29695,0.001s,18,System.oracle,AvgQLStat:mean,9923.6928888889
queueLengthConsistencyTest-99-20260107-19:48:48-29696,0.001s,19,System.oracle,AvgQLStat:mean,9929.4895555556
queueLengthConsistencyTest-60-20260107-19:48:28-29655,0.002s,0,System.oracle,AvgQLStat:mean,4921.184
queueLengthConsistencyTest-61-20260107-19:48:28-29656,0.002s,1,System.oracle,AvgQLStat:mean,4927.9222222222
queueLengthConsistencyTest-62-20260107-19:48:29-29658,0.002s,2,System.oracle,AvgQLStat:mean,4905.9293333333
queueLengthConsistencyTest-63-20260107-19:48:29-29659,0.002s,3,System.oracle,AvgQLStat:mean,4907.7948888889
queueLengthConsistencyTest-64-20260107-19:48:30-29660,0.002s,4,System.oracle,AvgQLStat:mean,4928.9406666667
queueLengthConsistencyTest-65-20260107-19:48:30-29661,0.002s,5,System.oracle,AvgQLStat:mean,4907.3853333333
queueLengthConsistencyTest-66-20260107-19:48:31-29662,0.002s,6,System.oracle,AvgQLStat:mean,4903.1724444444
queueLengthConsistencyTest-67-20260107-19:48:31-29663,0.002s,7,System.oracle,AvgQLStat:mean,4908.8237777778
queueLengthConsistencyTest-68-20260107-19:48:31-29664,0.002s,8,System.oracle,AvgQLStat:mean,4928.6975555556
queueLengthConsistencyTest-69-20260107-19:48:32-29665,0.002s,9,System.oracle,AvgQLStat:mean,4913.8251111111
queueLengthConsistencyTest-70-20260107-19:48:32-29666,0.002s,10,System.oracle,AvgQLStat:mean,4887.7026666667
queueLengthConsistencyTest-71-20260107-19:48:33-29667,0.002s,11,System.oracle,AvgQLStat:mean,4923.5353333333
queueLengthConsistencyTest-72-20260107-19:48:33-29668,0.002s,12,System.oracle,AvgQLStat:mean,4906.0035555556
queueLengthConsistencyTest-73-20260107-19:48:33-29669,0.002s,13,System.oracle,AvgQLStat:mean,4925.9386666667
queueLengthConsistencyTest-74-20260107-19:48:34-29670,0.002s,14,System.oracle,AvgQLStat:mean,4944.4508888889
queueLengthConsistencyTest-75-20260107-19:48:34-29671,0.002s,15,System.oracle,AvgQLStat:mean,4934.5433333333
queueLengthConsistencyTest-76-20260107-19:48:35-29672,0.002s,16,System.oracle,AvgQLStat:mean,4910.3766666667
queueLengthConsistencyTest-77-20260107-19:48:35-29673,0.002s,17,System.oracle,AvgQLStat:mean,4952.0833333333
queueLengthConsistencyTest-78-20260107-19:48:36-29674,0.002s,18,System.oracle,AvgQLStat:mean,4909.4435555556
queueLengthConsistencyTest-79-20260107-19:48:36-29675,0.002s,19,System.oracle,AvgQLStat:mean,4910.0615555556
queueLengthConsistencyTest-40-20260107-19:48:24-29635,0.004s,0,System.oracle,AvgQLStat:mean,2414.0997777778
queueLengthConsistencyTest-41-20260107-19:48:24-29636,0.004s,1,System.oracle,AvgQLStat:mean,2431.2242222222
queueLengthConsistencyTest-42-20260107-19:48:24-29637,0.004s,2,System.oracle,AvgQLStat:mean,2413.8891111111
queueLengthConsistencyTest-43-20260107-19:48:24-29638,0.004s,3,System.oracle,AvgQLStat:mean,2401.0728888889
queueLengthConsistencyTest-44-20260107-19:48:24-29639,0.004s,4,System.oracle,AvgQLStat:mean,2414.1595555556
queueLengthConsistencyTest-45-20260107-19:48:25-29640,0.004s,5,System.oracle,AvgQLStat:mean,2412.4555555556
queueLengthConsistencyTest-46-20260107-19:48:25-29641,0.004s,6,System.oracle,AvgQLStat:mean,2412.9842222222
queueLengthConsistencyTest-47-20260107-19:48:25-29642,0.004s,7,System.oracle,AvgQLStat:mean,2408.9773333333
queueLengthConsistencyTest-48-20260107-19:48:25-29643,0.004s,8,System.oracle,AvgQLStat:mean,2426.2211111111
queueLengthConsistencyTest-49-20260107-19:48:26-29644,0.004s,9,System.oracle,AvgQLStat:mean,2403.3242222222
queueLengthConsistencyTest-50-20260107-19:48:26-29645,0.004s,10,System.oracle,AvgQLStat:mean,2398.2266666667
