run,measurement,repetition,module,name,value
throughputConsistencyTest-0-20260107-13:16:17-5907,2,0,System.oracle,throughputStat:last,6728.75
throughputConsistencyTest-1-20260107-13:16:17-5908,2,1,System.oracle,throughputStat:last,6770
throughputConsistencyTest-2-20260107-13:16:17-5909,2,2,System.oracle,throughputStat:last,5803.75
throughputConsistencyTest-3-20260107-13:16:18-5910,2,3,System.oracle,throughputStat:last,6363.75
throughputConsistencyTest-4-20260107-13:16:18-5911,2,4,System.oracle,throughputStat:last,6696.25
throughputConsistencyTest-5-20260107-13:16:18-5912,2,5,System.oracle,throughputStat:last,7480
throughputConsistencyTest-6-20260107-13:16:18-5914,2,6,System.oracle,throughputStat:last,6157.5
throughputConsistencyTest-7-20260107-13:16:18-5916,2,7,System.oracle,throughputStat:last,6243.125
throughputConsistencyTest-8-20260107-13:16:19-5917,2,8,System.oracle,throughputStat:last,5887.5
throughputConsistencyTest-9-20260107-13:16:19-5920,2,9,System.oracle,throughputStat:last,5765
throughputConsistencyTest-10-20260107-13:16:19-5924,2,10,System.oracle,throughputStat:last,6581.25
throughputConsistencyTest-11-20260107-13:16:19-5928,2,11,System.oracle,throughputStat:last,6383.125
throughputConsistencyTest-12-20260107-13:16:19-5931,2,12,System.oracle,throughputStat:last,6011.25
throughputConsistencyTest-13-20260107-13:16:20-5932,2,13,System.oracle,throughputStat:last,6850
throughputConsistencyTest-14-20260107-13:16:20-5933,2,14,System.oracle,throughputStat:last,6125.625
throughputConsistencyTest-15-20260107-13:16:20-5934,2,15,System.oracle,throughputStat:last,7056.25
throughputConsistencyTest-16-20260107-13:16:20-5935,2,16,System.oracle,throughputStat:last,7336.875
throughputConsistencyTest-17-20260107-13:16:20-5936,2,17,System.oracle,throughputStat:last,5480.625
throughputConsistencyTest-18-20260107-13:16:21-5937,2,18,System.oracle,throughputStat:last,6531.25
throughputConsistencyTest-19-20260107-13:16:21-5938,2,19,System.oracle,throughputStat:last,6696.875
throughputConsistencyTest-20-20260107-13:16:21-5939,4,0,System.oracle,throughputStat:last,13498.75
throughputConsistencyTest-21-20260107-13:16:21-5940,4,1,System.oracle,throughputStat:last,12167.5
throughputConsistencyTest-22-20260107-13:16:22-5941,4,2,System.oracle,throughputStat:last,14176.25
