run,measurement,repetition,module,name,value
queueLengthContinuityTest-80-20260108-11:50:57-50252,0.012s,0,System.oracle,AvgQLStat:mean,759.72266666667
queueLengthContinuityTest-81-20260108-11:50:57-50253,0.012s,1,System.oracle,AvgQLStat:mean,762.432
queueLengthContinuityTest-82-20260108-11:50:57-50255,0.012s,2,System.oracle,AvgQLStat:mean,758.41777777778
queueLengthContinuityTest-83-20260108-11:50:57-50256,0.012s,3,System.oracle,AvgQLStat:mean,761.14933333333
queueLengthContinuityTest-84-20260108-11:50:58-50257,0.012s,4,System.oracle,AvgQLStat:mean,758.04666666667
queueLengthContinuityTest-85-20260108-11:50:58-50258,0.012s,5,System.oracle,AvgQLStat:mean,752.81155555556
queueLengthContinuityTest-86-20260108-11:50:58-50259,0.012s,6,System.oracle,AvgQLStat:mean,754.81555555556
queueLengthContinuityTest-87-20260108-11:50:58-50260,0.012s,7,System.oracle,AvgQLStat:mean,754.73777777778
queueLengthContinuityTest-88-20260108-11:50:59-50261,0.012s,8,System.oracle,AvgQLStat:mean,761.28155555556
queueLengthContinuityTest-89-20260108-11:50:59-50262,0.012s,9,System.oracle,AvgQLStat:mean,752.61444444444
queueLengthContinuityTest-90-20260108-11:50:59-50263,0.012s,10,System.oracle,AvgQLStat:mean,749.25933333333
queueLengthContinuityTest-91-20260108-11:51:00-50264,0.012s,11,System.oracle,AvgQLStat:mean,760.56622222222
queueLengthContinuityTest-92-20260108-11:51:00-50265,0.012s,12,System.oracle,AvgQLStat:mean,760.63333333333
queueLengthContinuityTest-93-20260108-11:51:00-50266,0.012s,13,System.oracle,AvgQLStat:mean,752.88866666667
queueLengthContinuityTest-94-20260108-11:51:00-50267,0.012s,14,System.oracle,AvgQLStat:mean,766.28911111111
queueLengthContinuityTest-95-20260108-11:51:01-50268,0.012s,15,System.oracle,AvgQLStat:mean,771.18088888889
queueLengthContinuityTest-96-20260108-11:51:01-50269,0.012s,16,System.oracle,AvgQLStat:mean,756.81288888889
queueLengthContinuityTest-97-20260108-11:51:01-50270,0.012s,17,System.oracle,AvgQLStat:mean,761.03466666667
queueLengthContinuityTest-98-20260108-11:51:01-50271,0.012s,18,System.oracle,AvgQLStat:mean,754.78466666667
queueLengthContinuityTest-99-20260108-11:51:01-50272,0.012s,19,System.oracle,AvgQLStat:mean,760.43955555556
queueLengthContinuityTest-60-20260108-11:50:50-50221,0.013s,0,System.oracle,AvgQLStat:mean,695.34622222222
queueLengthContinuityTest-61-20260108-11:50:51-50222,0.013s,1,System.oracle,AvgQLStat:mean,701.63933333333
queueLengthContinuityTest-62-20260108-11:50:51-50223,0.013s,2,System.oracle,AvgQLStat:mean,701.78711111111
queueLengthContinuityTest-63-20260108-11:50:51-50224,0.013s,3,System.oracle,AvgQLStat:mean,698.85266666667
queueLengthContinuityTest-64-20260108-11:50:52-50225,0.013s,4,System.oracle,AvgQLStat:mean,694.92488888889
queueLengthContinuityTest-65-20260108-11:50:52-50226,0.013s,5,System.oracle,AvgQLStat:mean,689.57444444444
queueLengthContinuityTest-66-20260108-11:50:52-50227,0.013s,6,System.oracle,AvgQLStat:mean,695.89044444444
queueLengthContinuityTest-67-20260108-11:50:53-50228,0.013s,7,System.oracle,AvgQLStat:mean,689.88222222222
queueLengthContinuityTest-68-20260108-11:50:53-50232,0.013s,8,System.oracle,AvgQLStat:mean,696.84911111111
queueLengthContinuityTest-69-20260108-11:50:54-50236,0.013s,9,System.oracle,AvgQLStat:mean,692.60133333333
queueLengthContinuityTest-70-20260108-11:50:54-50238,0.013s,10,System.oracle,AvgQLStat:mean,687.04888888889
queueLengthContinuityTest-71-20260108-11:50:54-50241,0.013s,11,System.oracle,AvgQLStat:mean,699.29422222222
queueLengthContinuityTest-72-20260108-11:50:54-50242,0.013s,12,System.oracle,AvgQLStat:mean,689.49266666667
queueLengthContinuityTest-73-20260108-11:50:55-50244,0.013s,13,System.oracle,AvgQLStat:mean,692.12311111111
queueLengthContinuityTest-74-20260108-11:50:55-50245,0.013s,14,System.oracle,AvgQLStat:mean,702.33511111111
queueLengthContinuityTest-75-20260108-11:50:55-50246,0.013s,15,System.oracle,AvgQLStat:mean,706.14888888889
