run,measurement,repetition,module,name,value
throughputContinuityTest-0-20260107-20:02:19-30965,2,0,System.oracle,throughputStat:last,6476.7
throughputContinuityTest-1-20260107-20:02:19-30966,2,1,System.oracle,throughputStat:last,6450.7
throughputContinuityTest-2-20260107-20:02:20-30969,2,2,System.oracle,throughputStat:last,6182.45
throughputContinuityTest-3-20260107-20:02:20-30970,2,3,System.oracle,throughputStat:last,6484
throughputContinuityTest-4-20260107-20:02:20-30972,2,4,System.oracle,throughputStat:last,6657.5
throughputContinuityTest-5-20260107-20:02:20-30974,2,5,System.oracle,throughputStat:last,6519.2
throughputContinuityTest-6-20260107-20:02:20-30976,2,6,System.oracle,throughputStat:last,6383.05
throughputContinuityTest-7-20260107-20:02:21-30977,2,7,System.oracle,throughputStat:last,6304.55
throughputContinuityTest-8-20260107-20:02:21-30980,2,8,System.oracle,throughputStat:last,6563.5
throughputContinuityTest-9-20260107-20:02:21-30981,2,9,System.oracle,throughputStat:last,6730.35
throughputContinuityTest-10-20260107-20:02:21-30982,2,10,System.oracle,throughputStat:last,6372.7
throughputContinuityTest-11-20260107-20:02:21-30983,2,11,System.oracle,throughputStat:last,6543.6
throughputContinuityTest-12-20260107-20:02:22-30984,2,12,System.oracle,throughputStat:last,6353.45
throughputContinuityTest-13-20260107-20:02:22-30985,2,13,System.oracle,throughputStat:last,6565
throughputContinuityTest-14-20260107-20:02:22-30986,2,14,System.oracle,throughputStat:last,6475.7
throughputContinuityTest-15-20260107-20:02:22-30987,2,15,System.oracle,throughputStat:last,6488.7
throughputContinuityTest-16-20260107-20:02:23-30988,2,16,System.oracle,throughputStat:last,6506.15
throughputContinuityTest-17-20260107-20:02:23-30989,2,17,System.oracle,throughputStat:last,6449.05
throughputContinuityTest-18-20260107-20:02:23-30990,2,18,System.oracle,throughputStat:last,6876.1
throughputContinuityTest-19-20260107-20:02:23-30991,2,19,System.oracle,throughputStat:last,6597.7
throughputContinuityTest-20-20260107-20:02:23-30992,3,0,System.oracle,throughputStat:last,9733.5
throughputContinuityTest-21-20260107-20:02:24-30993,3,1,System.oracle,throughputStat:last,9376.35
throughputContinuityTest-22-20260107-20:02:24-30994,3,2,System.oracle,throughputStat:last,9987.6
throughputContinuityTest-23-20260107-20:02:24-30995,3,3,System.oracle,throughputStat:last,9673.1
throughputContinuityTest-24-20260107-20:02:24-30996,3,4,System.oracle,throughputStat:last,9379.75
throughputContinuityTest-25-20260107-20:02:24-30997,3,5,System.oracle,throughputStat:last,9871.35
throughputContinuityTest-26-20260107-20:02:25-30998,3,6,System.oracle,throughputStat:last,9900.85
throughputContinuityTest-27-20260107-20:02:25-30999,3,7,System.oracle,throughputStat:last,9745.8
throughputContinuityTest-28-20260107-20:02:25-31000,3,8,System.oracle,throughputStat:last,9544.75
throughputContinuityTest-29-20260107-20:02:25-31001,3,9,System.oracle,throughputStat:last,9849.4
throughputContinuityTest-30-20260107-20:02:25-31002,3,10,System.oracle,throughputStat:last,9807.5
throughputContinuityTest-31-20260107-20:02:26-31003,3,11,System.oracle,throughputStat:last,9636.4
throughputContinuityTest-32-20260107-20:02:26-31004,3,12,System.oracle,throughputStat:last,10021.45
throughputContinuityTest-33-20260107-20:02:26-31005,3,13,System.oracle,throughputStat:last,10077.95
throughputContinuityTest-34-20260107-20:02:26-31006,3,14,System.oracle,throughputStat:last,9350.85
throughputContinuityTest-35-20260107-20:02:26-31007,3,15,System.oracle,throughputStat:last,9913.6
throughputContinuityTest-36-20260107-20:02:27-31008,3,16,System.oracle,throughputStat:last,9718.95
throughputContinuityTest-37-20260107-20:02:27-31009,3,17,System.oracle,throughputStat:last,9771.9
throughputContinuityTest-38-20260107-20:02:27-31010,3,18,System.oracle,throughputStat:last,9804
throughputContinuityTest-39-20260107-20:02:27-31011,3,19,System.oracle,throughputStat:last,9720.25
throughputContinuityTest-40-20260107-20:02:28-31012,4,0,System.oracle,throughputStat:last,12927.4
throughputContinuityTest-41-20260107-20:02:28-31013,4,1,System.oracle,throughputStat:last,12666.45
throughputContinuityTest-42-20260107-20:02:28-31014,4,2,System.oracle,throughputStat:last,13176.7
throughputContinuityTest-43-20260107-20:02:28-31015,4,3,System.oracle,throughputStat:last,12687.6
throughputContinuityTest-44-20260107-20:02:28-31016,4,4,System.oracle,throughputStat:last,13293.85
throughputContinuityTest-45-20260107-20:02:29-31017,4,5,System.oracle,throughputStat:last,12916.3
throughputContinuityTest-46-20260107-20:02:29-31018,4,6,System.oracle,throughputStat:last,12918.45
throughputContinuityTest-47-20260107-20:02:29-31019,4,7,System.oracle,throughputStat:last,12964.4
throughputContinuityTest-48-20260107-20:02:29-31020,4,8,System.oracle,throughputStat:last,12955.2
throughputContinuityTest-49-20260107-20:02:29-31022,4,9,System.oracle,throughputStat:last,13473.8
throughputContinuityTest-50-20260107-20:02:30-31023,4,10,System.oracle,throughputStat:last,12783.25
throughputContinuityTest-51-20260107-20:02:30-31029,4,11,System.oracle,throughputStat:last,13106.8
throughputContinuityTest-52-20260107-20:02:30-31031,4,12,System.oracle,throughputStat:last,13036.85
throughputContinuityTest-53-20260107-20:02:30-31032,4,13,System.oracle,throughputStat:last,12939
throughputContinuityTest-54-20260107-20:02:30-31033,4,14,System.oracle,throughputStat:last,13039.25
throughputContinuityTest-55-20260107-20:02:31-31034,4,15,System.oracle,throughputStat:last,12791.35
throughputContinuityTest-56-20260107-20:02:31-31035,4,16,System.oracle,throughputStat:last,12889.55
throughputContinuityTest-57-20260107-20:02:31-31038,4,17,System.oracle,throughputStat:last,12986.85
throughputContinuityTest-58-20260107-20:02:31-31039,4,18,System.oracle,throughputStat:last,13082.2
throughputContinuityTest-59-20260107-20:02:32-31040,4,19,System.oracle,throughputStat:last,12729.25
throughputContinuityTest-60-20260107-20:02:32-31041,5,0,System.oracle,throughputStat:last,16008.6
throughputContinuityTest-61-20260107-20:02:32-31042,5,1,System.oracle,throughputStat:last,16242.75
throughputContinuityTest-62-20260107-20:02:32-31043,5,2,System.oracle,throughputStat:last,15898.95
throughputContinuityTest-63-20260107-20:02:32-31044,5,3,System.oracle,throughputStat:last,16601.7
throughputContinuityTest-64-20260107-20:02:33-31045,5,4,System.oracle,throughputStat:last,16156.15
throughputContinuityTest-65-20260107-20:02:33-31046,5,5,System.oracle,throughputStat:last,16150.05
throughputContinuityTest-66-20260107-20:02:33-31047,5,6,System.oracle,throughputStat:last,16337
throughputContinuityTest-67-20260107-20:02:33-31048,5,7,System.oracle,throughputStat:last,16580.7
