run,K,N,repetition,module,name,value
simulationTest-0-20260108-13:38:38-54368,2,8,0,System.oracle,throughputStat:last,34829.866666667
simulationTest-1-20260108-13:38:38-54369,2,8,1,System.oracle,throughputStat:last,34948.066666667
simulationTest-2-20260108-13:38:38-54370,2,8,2,System.oracle,throughputStat:last,34199.5
simulationTest-3-20260108-13:38:38-54371,2,8,3,System.oracle,throughputStat:last,34801.633333333
simulationTest-4-20260108-13:38:38-54372,2,8,4,System.oracle,throughputStat:last,33809.933333333
simulationTest-5-20260108-13:38:39-54373,2,8,5,System.oracle,throughputStat:last,34414.866666667
simulationTest-6-20260108-13:38:39-54376,2,8,6,System.oracle,throughputStat:last,35000.1
simulationTest-7-20260108-13:38:39-54378,2,8,7,System.oracle,throughputStat:last,34838.433333333
simulationTest-8-20260108-13:38:39-54379,2,8,8,System.oracle,throughputStat:last,34143.766666667
simulationTest-9-20260108-13:38:39-54380,2,8,9,System.oracle,throughputStat:last,34726.533333333
simulationTest-10-20260108-13:38:40-54381,2,8,10,System.oracle,throughputStat:last,34721.933333333
simulationTest-11-20260108-13:38:40-54382,2,8,11,System.oracle,throughputStat:last,34991.766666667
simulationTest-12-20260108-13:38:40-54383,2,8,12,System.oracle,throughputStat:last,34375.466666667
simulationTest-13-20260108-13:38:40-54384,2,8,13,System.oracle,throughputStat:last,34821.333333333
simulationTest-14-20260108-13:38:40-54385,2,8,14,System.oracle,throughputStat:last,34411.066666667
simulationTest-15-20260108-13:38:41-54386,2,8,15,System.oracle,throughputStat:last,34210.366666667
simulationTest-16-20260108-13:38:41-54387,2,8,16,System.oracle,throughputStat:last,34666.833333333
simulationTest-17-20260108-13:38:41-54388,2,8,17,System.oracle,throughputStat:last,34277.366666667
simulationTest-18-20260108-13:38:41-54389,2,8,18,System.oracle,throughputStat:last,34954.7
simulationTest-19-20260108-13:38:42-54390,2,8,19,System.oracle,throughputStat:last,34196.9
simulationTest-20-20260108-13:38:42-54391,5,8,0,System.oracle,throughputStat:last,206765.9
simulationTest-21-20260108-13:38:42-54392,5,8,1,System.oracle,throughputStat:last,207252.66666667
simulationTest-22-20260108-13:38:42-54393,5,8,2,System.oracle,throughputStat:last,206650.4
simulationTest-23-20260108-13:38:43-54394,5,8,3,System.oracle,throughputStat:last,206349.43333333
simulationTest-24-20260108-13:38:43-54396,5,8,4,System.oracle,throughputStat:last,206613.2
simulationTest-25-20260108-13:38:43-54397,5,8,5,System.oracle,throughputStat:last,206947.06666667
simulationTest-26-20260108-13:38:43-54398,5,8,6,System.oracle,throughputStat:last,208019.86666667
simulationTest-27-20260108-13:38:43-54399,5,8,7,System.oracle,throughputStat:last,206469.16666667
simulationTest-28-20260108-13:38:44-54400,5,8,8,System.oracle,throughputStat:last,204557.16666667
simulationTest-29-20260108-13:38:44-54401,5,8,9,System.oracle,throughputStat:last,207278.13333333
simulationTest-30-20260108-13:38:44-54402,5,8,10,System.oracle,throughputStat:last,207680.1
simulationTest-31-20260108-13:38:44-54403,5,8,11,System.oracle,throughputStat:last,206543.43333333
simulationTest-32-20260108-13:38:44-54405,5,8,12,System.oracle,throughputStat:last,206170.5
simulationTest-33-20260108-13:38:45-54406,5,8,13,System.oracle,throughputStat:last,207926.4
simulationTest-34-20260108-13:38:45-54407,5,8,14,System.oracle,throughputStat:last,206862.4
simulationTest-35-20260108-13:38:45-54408,5,8,15,System.oracle,throughputStat:last,207547.86666667
simulationTest-36-20260108-13:38:45-54409,5,8,16,System.oracle,throughputStat:last,206883.73333333
simulationTest-37-20260108-13:38:45-54410,5,8,17,System.oracle,throughputStat:last,207937.56666667
simulationTest-38-20260108-13:38:46-54411,5,8,18,System.oracle,throughputStat:last,206020.26666667
simulationTest-39-20260108-13:38:46-54412,5,8,19,System.oracle,throughputStat:last,206222.03333333
simulationTest-40-20260108-13:38:46-54413,20,8,0,System.oracle,throughputStat:last,207060.6
simulationTest-41-20260108-13:38:46-54414,20,8,1,System.oracle,throughputStat:last,208388.46666667
simulationTest-42-20260108-13:38:46-54415,20,8,2,System.oracle,throughputStat:last,207940.9
simulationTest-43-20260108-13:38:47-54416,20,8,3,System.oracle,throughputStat:last,207416.56666667
simulationTest-44-20260108-13:38:47-54417,20,8,4,System.oracle,throughputStat:last,207832.16666667
simulationTest-45-20260108-13:38:47-54418,20,8,5,System.oracle,throughputStat:last,208070.43333333
simulationTest-46-20260108-13:38:47-54419,20,8,6,System.oracle,throughputStat:last,207946.33333333
simulationTest-47-20260108-13:38:48-54420,20,8,7,System.oracle,throughputStat:last,207524.8
simulationTest-48-20260108-13:38:48-54421,20,8,8,System.oracle,throughputStat:last,206482.3
simulationTest-49-20260108-13:38:48-54422,20,8,9,System.oracle,throughputStat:last,206752.1
simulationTest-50-20260108-13:38:48-54423,20,8,10,System.oracle,throughputStat:last,209455.66666667
simulationTest-51-20260108-13:38:48-54424,20,8,11,System.oracle,throughputStat:last,207535.6
simulationTest-52-20260108-13:38:49-54425,20,8,12,System.oracle,throughputStat:last,207555.06666667
simulationTest-53-20260108-13:38:49-54426,20,8,13,System.oracle,throughputStat:last,208745.03333333
simulationTest-54-20260108-13:38:49-54427,20,8,14,System.oracle,throughputStat:last,207433.43333333
simulationTest-55-20260108-13:38:49-54428,20,8,15,System.oracle,throughputStat:last,208016.2
simulationTest-56-20260108-13:38:49-54429,20,8,16,System.oracle,throughputStat:last,207602.76666667
simulationTest-57-20260108-13:38:50-54430,20,8,17,System.oracle,throughputStat:last,208350.1
simulationTest-58-20260108-13:38:50-54431,20,8,18,System.oracle,throughputStat:last,207515.06666667
simulationTest-59-20260108-13:38:50-54432,20,8,19,System.oracle,throughputStat:last,207076.8
simulationTest-60-20260108-13:38:50-54433,50,8,0,System.oracle,throughputStat:last,207522.33333333
simulationTest-61-20260108-13:38:50-54434,50,8,1,System.oracle,throughputStat:last,207943.46666667
simulationTest-62-20260108-13:38:51-54435,50,8,2,System.oracle,throughputStat:last,208045.9
simulationTest-63-20260108-13:38:51-54436,50,8,3,System.oracle,throughputStat:last,207023.7
simulationTest-64-20260108-13:38:51-54437,50,8,4,System.oracle,throughputStat:last,207779.63333333
simulationTest-65-20260108-13:38:51-54438,50,8,5,System.oracle,throughputStat:last,208472.93333333
simulationTest-66-20260108-13:38:51-54439,50,8,6,System.oracle,throughputStat:last,208311.83333333
simulationTest-67-20260108-13:38:52-54440,50,8,7,System.oracle,throughputStat:last,207491.63333333
simulationTest-68-20260108-13:38:52-54441,50,8,8,System.oracle,throughputStat:last,206597.26666667
simulationTest-69-20260108-13:38:52-54442,50,8,9,System.oracle,throughputStat:last,206990.7
simulationTest-70-20260108-13:38:52-54443,50,8,10,System.oracle,throughputStat:last,209435.3
simulationTest-71-20260108-13:38:53-54444,50,8,11,System.oracle,throughputStat:last,207346.56666667
simulationTest-72-20260108-13:38:53-54445,50,8,12,System.oracle,throughputStat:last,207701.73333333
simulationTest-73-20260108-13:38:53-54446,50,8,13,System.oracle,throughputStat:last,208606.76666667
simulationTest-74-20260108-13:38:53-54447,50,8,14,System.oracle,throughputStat:last,207632.33333333
simulationTest-75-20260108-13:38:53-54448,50,8,15,System.oracle,throughputStat:last,207922.73333333
simulationTest-76-20260108-13:38:54-54449,50,8,16,System.oracle,throughputStat:last,207848.36666667
simulationTest-77-20260108-13:38:54-54450,50,8,17,System.oracle,throughputStat:last,208569.4
simulationTest-78-20260108-13:38:54-54451,50,8,18,System.oracle,throughputStat:last,206959.66666667
simulationTest-79-20260108-13:38:54-54452,50,8,19,System.oracle,throughputStat:last,207360.46666667
simulationTest-80-20260108-13:38:55-54453,1000,8,0,System.oracle,throughputStat:last,207212.06666667
simulationTest-81-20260108-13:38:55-54454,1000,8,1,System.oracle,throughputStat:last,208168.9
simulationTest-82-20260108-13:38:55-54455,1000,8,2,System.oracle,throughputStat:last,207518.66666667
simulationTest-83-20260108-13:38:55-54456,1000,8,3,System.oracle,throughputStat:last,207467.96666667
simulationTest-84-20260108-13:38:56-54457,1000,8,4,System.oracle,throughputStat:last,207836.96666667
simulationTest-85-20260108-13:38:56-54458,1000,8,5,System.oracle,throughputStat:last,208226.43333333
simulationTest-86-20260108-13:38:56-54459,1000,8,6,System.oracle,throughputStat:last,207921.46666667
simulationTest-87-20260108-13:38:56-54460,1000,8,7,System.oracle,throughputStat:last,207538.23333333
simulationTest-88-20260108-13:38:56-54461,1000,8,8,System.oracle,throughputStat:last,206745.26666667
simulationTest-89-20260108-13:38:57-54462,1000,8,9,System.oracle,throughputStat:last,207105.06666667
simulationTest-90-20260108-13:38:57-54463,1000,8,10,System.oracle,throughputStat:last,209731.5
simulationTest-91-20260108-13:38:57-54464,1000,8,11,System.oracle,throughputStat:last,207140.13333333
simulationTest-92-20260108-13:38:57-54465,1000,8,12,System.oracle,throughputStat:last,207418.33333333
simulationTest-93-20260108-13:38:57-54466,1000,8,13,System.oracle,throughputStat:last,208785.7
simulationTest-94-20260108-13:38:58-54467,1000,8,14,System.oracle,throughputStat:last,207736.03333333
simulationTest-95-20260108-13:38:58-54468,1000,8,15,System.oracle,throughputStat:last,207765.36666667
simulationTest-96-20260108-13:38:58-54469,1000,8,16,System.oracle,throughputStat:last,207752.06666667
simulationTest-97-20260108-13:38:59-54470,1000,8,17,System.oracle,throughputStat:last,208633.96666667
simulationTest-98-20260108-13:38:59-54471,1000,8,18,System.oracle,throughputStat:last,207711.33333333
simulationTest-99-20260108-13:38:59-54472,1000,8,19,System.oracle,throughputStat:last,207040.83333333
simulationTest-100-20260108-13:38:59-54473,2,12,0,System.oracle,throughputStat:last,39399.9
simulationTest-101-20260108-13:39:00-54474,2,12,1,System.oracle,throughputStat:last,39389.6
simulationTest-102-20260108-13:39:00-54475,2,12,2,System.oracle,throughputStat:last,39420.466666667
simulationTest-103-20260108-13:39:00-54476,2,12,3,System.oracle,throughputStat:last,39291.2
simulationTest-104-20260108-13:39:01-54477,2,12,4,System.oracle,throughputStat:last,39508.866666667
simulationTest-105-20260108-13:39:01-54478,2,12,5,System.oracle,throughputStat:last,39331.6
