run,K,N,repetition,module,name,value
simulationTest-525-20260110-11:33:43-84717,2,20,0,System.oracle,AvgQLStat:mean,9178.3982071713
simulationTest-526-20260110-11:33:43-84718,2,20,1,System.oracle,AvgQLStat:mean,9138.4107569721
simulationTest-527-20260110-11:33:44-84719,2,20,2,System.oracle,AvgQLStat:mean,9167.3105577689
simulationTest-528-20260110-11:33:44-84720,2,20,3,System.oracle,AvgQLStat:mean,9144.6310756972
simulationTest-529-20260110-11:33:44-84721,2,20,4,System.oracle,AvgQLStat:mean,9167.7111553785
simulationTest-530-20260110-11:33:45-84723,2,20,5,System.oracle,AvgQLStat:mean,9157.0231075697
simulationTest-531-20260110-11:33:45-84724,2,20,6,System.oracle,AvgQLStat:mean,9163.9388446215
simulationTest-532-20260110-11:33:46-84725,2,20,7,System.oracle,AvgQLStat:mean,9171.7027888446
simulationTest-533-20260110-11:33:46-84726,2,20,8,System.oracle,AvgQLStat:mean,9154.5677290837
simulationTest-534-20260110-11:33:46-84728,2,20,9,System.oracle,AvgQLStat:mean,9146.3814741036
simulationTest-535-20260110-11:33:47-84729,2,20,10,System.oracle,AvgQLStat:mean,9151.8547808765
simulationTest-536-20260110-11:33:47-84730,2,20,11,System.oracle,AvgQLStat:mean,9161.619123506
simulationTest-537-20260110-11:33:48-84731,2,20,12,System.oracle,AvgQLStat:mean,9182.6697211155
simulationTest-538-20260110-11:33:48-84732,2,20,13,System.oracle,AvgQLStat:mean,9189.3725099602
simulationTest-539-20260110-11:33:49-84733,2,20,14,System.oracle,AvgQLStat:mean,9171.1442231076
simulationTest-540-20260110-11:33:49-84734,2,20,15,System.oracle,AvgQLStat:mean,9164.2013944223
simulationTest-541-20260110-11:33:50-84735,2,20,16,System.oracle,AvgQLStat:mean,9174.1215139442
simulationTest-542-20260110-11:33:50-84736,2,20,17,System.oracle,AvgQLStat:mean,9151.8906374502
simulationTest-543-20260110-11:33:51-84737,2,20,18,System.oracle,AvgQLStat:mean,9139.9944223108
simulationTest-544-20260110-11:33:51-84738,2,20,19,System.oracle,AvgQLStat:mean,9159.8515936255
