run,K,N,repetition,module,name,value
simulationTest-350-20260110-11:32:29-84519,2,16,0,System.oracle,throughputStat:last,39734.233333333
simulationTest-351-20260110-11:32:30-84520,2,16,1,System.oracle,throughputStat:last,39731.466666667
simulationTest-352-20260110-11:32:30-84521,2,16,2,System.oracle,throughputStat:last,39734.166666667
simulationTest-353-20260110-11:32:31-84522,2,16,3,System.oracle,throughputStat:last,39745.333333333
simulationTest-354-20260110-11:32:31-84526,2,16,4,System.oracle,throughputStat:last,39731.966666667
simulationTest-355-20260110-11:32:32-84527,2,16,5,System.oracle,throughputStat:last,39731.466666667
simulationTest-356-20260110-11:32:32-84528,2,16,6,System.oracle,throughputStat:last,39738.333333333
simulationTest-357-20260110-11:32:33-84529,2,16,7,System.oracle,throughputStat:last,39727.933333333
simulationTest-358-20260110-11:32:33-84530,2,16,8,System.oracle,throughputStat:last,39727.1
simulationTest-359-20260110-11:32:34-84531,2,16,9,System.oracle,throughputStat:last,39727.966666667
simulationTest-360-20260110-11:32:34-84532,2,16,10,System.oracle,throughputStat:last,39728.366666667
simulationTest-361-20260110-11:32:34-84533,2,16,11,System.oracle,throughputStat:last,39729
simulationTest-362-20260110-11:32:35-84534,2,16,12,System.oracle,throughputStat:last,39714.366666667
simulationTest-363-20260110-11:32:35-84535,2,16,13,System.oracle,throughputStat:last,39703.666666667
simulationTest-364-20260110-11:32:36-84536,2,16,14,System.oracle,throughputStat:last,39712.933333333
simulationTest-365-20260110-11:32:36-84537,2,16,15,System.oracle,throughputStat:last,39731.566666667
simulationTest-366-20260110-11:32:36-84538,2,16,16,System.oracle,throughputStat:last,39733.533333333
simulationTest-367-20260110-11:32:37-84539,2,16,17,System.oracle,throughputStat:last,39732.3
simulationTest-368-20260110-11:32:37-84540,2,16,18,System.oracle,throughputStat:last,39735.333333333
simulationTest-369-20260110-11:32:38-84541,2,16,19,System.oracle,throughputStat:last,39722.266666667
